method,epoch,seconds,train_loss,val_loss
full_batch,1,0.00428039999678731,0.8970735391766017,0.8962129312425459
full_batch,2,0.006842899994808249,0.8282369965579095,0.8397098350148595
full_batch,3,0.01000219999696128,0.784369369649418,0.7983279208698443
full_batch,4,0.012723699997877702,0.7526284201200333,0.7716591539955032
full_batch,5,0.015536899998551235,0.7281416389515724,0.7487660623563678
full_batch,6,0.017799299996113405,0.7084694483397662,0.7314714092350811
full_batch,7,0.019598899991251528,0.6922163307466218,0.716489245462945
full_batch,8,0.02169149999099318,0.6785086634298086,0.7041638460022198
full_batch,9,0.023522699979366735,0.6667614434095248,0.693446564631502
full_batch,10,0.02519669999310281,0.6565633657076323,0.6842347133246349
full_batch,11,0.026780599990161136,0.6476141073594102,0.6761362215359354
full_batch,12,0.029103199995006435,0.6396880438162986,0.6690013778804813
full_batch,13,0.030985399993369356,0.6326117248786777,0.6626444754934708
full_batch,14,0.03340459999162704,0.6262492955080894,0.6569500837894987
full_batch,15,0.03582549998827744,0.6204926616379437,0.6518117233518829
full_batch,16,0.038406199993914925,0.6152546610732746,0.6471493960999991
full_batch,17,0.040155299997422844,0.6104641929253221,0.6428950633495182
full_batch,18,0.0422244000073988,0.6060626684113569,0.6389938451369899
full_batch,19,0.044446500003687106,0.6020013744090636,0.6353997180443884
full_batch,20,0.04668640000454616,0.5982394826439303,0.6320744454666931
full_batch,21,0.0484065000055125,0.5947425243922614,0.6289858018286645
full_batch,22,0.04982530001143459,0.5914812068599471,0.6261065765051659
full_batch,23,0.05132170001161285,0.5884304842138691,0.6234136210871716
full_batch,24,0.05265670001972467,0.5855688210473327,0.6208871575873369
full_batch,25,0.054810600020573474,0.58287760304064,0.6185101951235416
full_batch,26,0.056914200031314977,0.5803406614425141,0.6162680697220777
full_batch,27,0.058378200032166205,0.577943886419761,0.6141480655766408
full_batch,28,0.060107900033472106,0.5756749103990153,0.6121391072101358
full_batch,29,0.06145920003473293,0.5735228469729658,0.6102315057332635
full_batch,30,0.06303120004304219,0.5714780742473988,0.6084167495487485
full_batch,31,0.06439350004075095,0.5695320539925827,0.6066873305362641
full_batch,32,0.06605180003680289,0.5676771798586554,0.6050365991789105
